Marketing_Campaign_Indicator,Website_Engagement_Indicator,Engagement Score,Lead Source Category,Lead Source Channel,Referring_Bank_Region,has_website,has_instagram,has_twitter,has_facebook,insta_ratio,twt_presence,twt_ratio,has_sum,LF-Industry_Business To Business,LF-Industry_Construction,LF-Industry_Groceries,LF-Industry_Health Care & Pharmacies,LF-Industry_Lodging,LF-Industry_Non-Profit / Government,LF-Industry_Other,LF-Industry_Personal Services,LF-Industry_Professional Services,LF-Industry_Restaurants & Quick Serve Restaurants,LF-Industry_Retail,LF-Industry_Retail - Apparel,LF-Industry_Transportation,LF-Industry_Unknown,Converted,Lead_Quality_Score
0,0,0.0,0,2,35,1,1,1,1,0.666667,1,0.615384615,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.12
0,0,0.0,2,2,25,1,1,0,1,0.615385,0,0.421052632,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.29
0,0,0.0,2,2,1,1,0,0,1,0.408163,0,0.264150943,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.1
0,0,0.0,2,2,25,1,0,1,1,0.451613,1,0.709677419,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,0.0,1,2,25,0,0,1,0,0.372093,1,0.536585366,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.03
0,0,0.0,7,1,35,1,0,1,1,0.205128,1,0.523809524,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.15
0,0,0.0,2,2,1,0,0,0,1,0.424242,0,0.285714286,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,7,1,0,0,0,0.0,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,7,1,35,0,0,1,1,0.285714,1,0.55,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.47
0,0,0.0,0,2,35,1,0,0,1,0.0,2,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,10.0,0,2,35,0,0,0,1,0.0,0,0.230769231,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.79
0,0,0.0,2,2,2,1,0,0,0,0.518519,0,0.458333333,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,2,2,26,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.001002917241991221
1,0,0.0,8,0,35,1,0,0,1,0.536585,0,0.266666667,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,25,0,0,0,1,0.125,0,0.375,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.15
0,0,0.0,5,1,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.9804833787975298
1,0,0.0,8,0,35,1,1,1,1,0.577778,1,0.564102564,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,2,2,1,0,0,1,1,0.413793,1,0.647058824,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0.7966666666666665
0,0,0.0,0,2,35,1,0,0,0,0.296296,0,0.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.6
1,0,10.0,4,0,35,1,0,0,1,0.48,0,0.428571429,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
1,0,0.0,8,0,35,1,1,0,1,0.622222,0,0.380952381,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,26,1,1,0,1,0.685714,0,0.357142857,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,140.0,8,0,35,0,0,0,1,0.357143,0,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.43
0,0,0.0,0,2,35,1,0,1,0,0.37037,1,0.545454545,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,26,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.001002917241991221
0,0,0.0,0,2,35,1,0,0,1,0.440678,0,0.0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.8316666666666669
1,0,0.0,3,2,35,1,1,1,1,0.952381,1,0.647058824,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,24,1,0,0,0,1.0,2,0.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.7530515873015875
1,0,0.0,0,2,35,0,1,0,1,0.758621,0,0.421052632,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.16
0,0,0.0,0,2,35,1,0,0,0,0.0,2,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.4407380952380952
